Process,Narrative,SME Hazard Type Label,,SME Severity Label
QSI Observation,2-Lab building 101 Three (3) breakers were found not lockout tagout properly and one (1) in ON position with lockout tagout on it in the electrical room.,None - minor maintenance,,4C
Near Miss,electrical receptacle,None,,1C
Unsafe Condition,OIL LEAK FROM DIAPHRAGM OF PCV1607,Safety - contact with chemicals,,
Unsafe Condition,PZV BALL VALVE CON'T FULLY OEN,None - minor maintenance,,
QSI Observation,Loose door of ./l B92-UT1-LP-022 located at Pipe Rack R-201 required to be fully closed.(,None - minor maintenance,,
Employee Suggestion,When we want to add methanol for mechanical seals for the pumps we refill Methanol manually from the Methanol Drum [D-0006] from one of its drains which is unsafe act due to Methanol hazards.We need to have Methanol gallons to use or at least having,Safety - slip trip and fall,,
QSI Observation,"Several utility stations were observed with the wrong connections / fittings in different areas across the Unit. Review all utility stations among the unit area and replace all connectors to be in compliance with the requirements of SAES-L-310, Secti",None - minor maintenance,,
Employee Suggestion,"Currently, we have the pipe outlet from lean/rich heat exchanger PZVs to Amine regenerator C-0102 is very hot and it cannot be touch and it will cause burning injuries if it?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s not cover by insulation.I suggest to cover the pipe by insulation to pre",None - minor maintenance,,
Employee Suggestion,While I am doing the PM check in cooling water pump for CoGen unite E I notes that it doesn't have oil drain bottom so I suggest to install one to collect the moisture to prevent the pump from filler B48-G-0502 A&B,None - minor maintenance,,
Unsafe Condition,HOT OIL DROPPING ON MANIFOLD . NGL1.,Safety - fire and explosion,,
QSI Observation,"The manways of various vessels were visually inspected and no Confined Space Entry (CSE) warning signs were observe. The vessels inspected include the following: ?É¬¢?Ç‚Ç¨?Ç¬¢ Vessels B90-D-0110 (A, B, C & D) ?É¬¢?Ç‚Ç¨?Ç¬¢ Vessels B90-D-0111 (A & B) ?É¬¢?Ç‚Ç¨?Ç¬¢ Vessels B90-D-0112 (A",Safety - contact with chemicals,,
QSI Observation,"Fire Hose Reel #011 found, No SAP numbers legibly",Safety - fire and explosion,,1C
QSI Observation,There are three defective blades placed at gas cooler area need to be removed,Safety - slip trip and fall,,
Near Miss,wind sock damege,Safety - contact with chemicals,,2C
Employee Suggestion,upgrade the range of test pass and fail the test when the reading not achieve HI HI or be IOP,None - minor maintenance,,
QSI Observation,Tag of Lockout tagout found with missing information with only indicated ?É¬¢?Ç‚Ç¨?Ç?ìOPS?É¬¢?Ç‚Ç¨?Ç¬ù at Electrical Room on Building 133,Safety - electric,,
Unsafe Condition,AC-200 CRANE FLY JIB FALL DOWN,Safety - collision,,
Near Miss,FALLEN CABLE AT Utility Area-1 Coulmn#19,None - minor maintenance,,2C
Near Miss,Hot oil line not covered,Safety - fire and explosion,,3C
QSI Observation,"B95-G-0008A/B mathballed put the power still on, and the tag and locks are old type",None - minor maintenance,,
Employee Suggestion,I noticed at the RIC camp that there is no wind sock over the buildings which is really bad for people to know the wind location and follow the right procedure in case if any emergency happen like fire to avoid any injuries.,Safety - fire and explosion,,
Employee Suggestion,"the vent is hard to reach because it is high, it is not safe to climb trying to reach it so I suggested put step ladder near by each E-0051.",Safety - slip trip and fall,,
Near Miss,Saw on Ground,Safety - slip trip and fall,,2C
QSI Observation,"Fire Hydrant #302, 301, 004, 006 without SAP number.",Safety - fire and explosion,,
Unsafe Condition,EMERGENCY CONSOLE,Safety - collision,,
Employee Suggestion,"for Utility Substation floor, there is no floor guidance arrows for the exit door during the power failure and exit signs failure. So, I suggest to install reflective color arrows in the floor for the exit doors in order to direct us to the doors/exi",Safety - collision,,
Near Miss,cable tray damage,None - minor maintenance,,2C
Employee Suggestion,their is a wire cable between the steps in the monkey ladder for the stripper 1010 Bchange the location of the wire,None - minor maintenance,,
QSI Observation,Remove the hose at Q-0002,Safety - fire and explosion,,
QSI Observation,RG1 Substation has some Exit Signs that were not illuminated.,None - minor maintenance,,1C
QSI Observation,RG#2 Gas cooler are needs houskeeping,Safety - slip trip and fall,,
Employee Suggestion,the close chains in the entrance for the road to enter the area its difficult to see at night. I suggest to re-painting it by yellow color to prevent any hazard and falling.,Safety - slip trip and fall,,2C
QSI Observation,Temperature gauges at GIS and MS1 substation battery rooms are not showing any values,None - minor maintenance,,
QSI Observation,fire monitor B-48-M-006 has leak from center.,None - minor maintenance,,
QSI Observation,old seal filters at ops shelter store,Safety - fire and explosion,,
Employee Suggestion,We have a support for cable tray near by PIB-4&PIB-5 need repaint (yellow and black).,None - minor maintenance,,
Unsafe Condition,SEWER WATER,None - minor maintenance,,
QSI Observation,"RV Shop Two (2) disconnect switches are in off position without lockout tagout (B56-106-DS PP-01), (B56-106-DS PP01/CKT20.22.24).",Safety - electric,,
Employee Suggestion,Clarify the type of oil used color. In our plant we have equipment with different type of oil our staff from maintenance or operators sometimes put the type of oil is not for this equipment by mistake. So we need to put plates with color that will be,Others,,1C
QSI Observation,"General housekeeping is properly maintained in the NGL Train 1. However, several spare parts (i.e. scaffold materials, pipe plugs, spectacle blinds, etc.) were observed on the top level area. Inspect all areas and complete general housekeeping to avo",Others,,3C
Employee Suggestion,"Currently the area process engineers do not have portable H2S and LEL detectors, which make it unsafe for them to go and visit the area. The contact Engineers need to carry the portable detector with them when they visit the area. Therefore I suggest",Safety - contact with chemicals,,
QSI Observation,Remove all empty anti foam drums from the area,Safety - collision,,
QSI Observation,Install the new Arc Flash and Shock Hazard Warning labels in accordance with GI 2.721.,Safety - fire and explosion,,3C
QSI Observation,Water dripping found on R.I.C. drinking water pump G-0099B from the mechanical seal which need to be evaluated by MRU and get the required repairing.,None - minor maintenance,,
Employee Suggestion,I suggest to install concrete fenders on the ground level end of the parking.,Safety - slip trip and fall,,
Employee Suggestion,Ground missing in the ladder for D-0642 cleaning system tank need put ground wire.,None - minor maintenance,,
QSI Observation,Remove unneeded scaffolding from lunching area,None - minor maintenance,,
Employee Suggestion,Glow Paint arrows on the substation ground to led the employee to the Exit.To paint arrows with glow paint on the ground for the exit door.,Others,,
Employee Suggestion,On regular routine checking on CGTGs inlet air heating differential pressure transmitters located in close junction box that we can not take reading.exposed or modify the box with glass or clear plastic in order to be monitored all the time.,None - minor maintenance,,
QSI Observation,"Minor cable trey damage has been spotted at the south western corner of the GIS substation. The subject cable tray has 230 kV cables and due to the sensitivity of such cables, its exposure is very risky",Safety - electric,,
Employee Suggestion,"My suggestion is to install a small display screen in the CCR and the admin buildings. On this screen we can show safety instruction, lesson learned, active permits, announcements, different pictures and any other things related to SNGL and Shaybah c",Others,,
QSI Observation,AL-SUWAIDI Contractor did not have a hammer as they were using a wrench as a hammer,None - minor maintenance,,
Unsafe Condition,"as i'm part of SNGL Machinst Tech working in NGL AREA, we have 3 Emergency Diesel Generator one for Control Room CCR, ISF Building , Admin Bld, and I have working many time's on Miner Maintenance WO to repair some Fuel & Oil Leak , we haven't any mec",Safety - contact with chemicals,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Remove sand and scaffolding from E-202 Cogen B,None - minor maintenance,,
Unsafe Condition,the cover for top cable tray in front of feed filter separator is damaged need to repair,None - minor maintenance,,
QSI Observation," The tent outside open hall has a sand collapsed from the open hall corner, which cause the concrete side beam hanging and the cement blocks fallen. ",Safety - collision,,
QSI Observation,"Review and ensure proper installation of blind flanges and plugs on the Anti-Foam B91-D-0221B and B91-D-0121B systems. Several valve?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s blind flange and other hose connections are left open, loose and / or installed incorrectly while the system is in ",None - minor maintenance,,
QSI Observation,RG#1 LP & HP skids need general houskeeping,None - minor maintenance,,
QSI Observation,B92-K-0011 A/B/C/D/E skids need housekeeping,None - minor maintenance,,
Employee Suggestion,G-639A/B LOWER BASE SKID EQUIPPED WHIT NO DRIN ACCESS FOR ACCUMULATED WATER WHICH CAUSE CORROSION TO THE BASE METAL.,None - minor maintenance,,
QSI Observation,Install connector at the utility water line in utility station B92-US-209.,None - minor maintenance,,
Employee Suggestion,"At battery limit of RMU unit, if you want to access cryogenic header in addition to PZV's you need to use monkey leader which is the only access to it, but the narrow gap between the leader and platform handrail which is less than half meter make it ",Safety - slip trip and fall,,
Near Miss,oil leak,Safety - contact with chemicals,,2C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Contractor employees were observed working and walking under lifted loads while the loads were in motion. HWP 1537456 Recommendation(s): ?É¬¢?Ç‚Ç¨?Ç¬¢ Standing or walking under a suspended load is prohibited as per CSM III-8 Section 8.3. ?É¬¢?Ç‚Ç¨?Ç¬¢ Communicate to all w,Safety - collision,,
QSI Observation,Remove Blinds at RG#4 outlet & HP B/V's,None - minor maintenance,,
Employee Suggestion,"there is always a risk of chemicals burn for lab technician sync we are dealing with high concentrated acids and caustic, the first aid kit in the lab doesn't include much of useful things.provide a burn first aid",None - minor maintenance,,
QSI Observation,Emergency diesel generator room-101 Exit Sign west door not working,None - minor maintenance,,
